api10,corrected_code,was,note
3001547726,WCA_2,WCB_1,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 21 ft off destination band, jury n=7"
3001547926,WCB_1,WCA_2,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 46 ft off destination band, jury n=8"
3001549977,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 67 ft off destination band, jury n=3"
3001550048,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 106 ft off destination band, jury n=4"
3001557086,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 13 ft off destination band, jury n=4"
3001557116,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 56 ft off destination band, jury n=4"
3001557127,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 7 ft off destination band, jury n=4"
3002545593,WCB_1,WCA_2,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 22 ft off destination band, jury n=7"
3002545597,WCB_1,WCA_2,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 10 ft off destination band, jury n=11"
3002546508,WCB_1,WCA_2,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 34 ft off destination band, jury n=9"
3002546617,WCB_2,WCB_1,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 12 ft off destination band, jury n=5"
3002546618,WCB_1,WCA_2,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 2 ft off destination band, jury n=10"
3002546619,WCB_2,WCB_1,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 34 ft off destination band, jury n=6"
3002547670,WCA_2,WCB_1,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 51 ft off destination band, jury n=19"
3002547677,WCB_1,WCC,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 57 ft off destination band, jury n=17"
3002547755,WCB_1,WCB_2,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 52 ft off destination band, jury n=12"
3002547757,WCB_2,WCB_1,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 92 ft off destination band, jury n=4"
3002547882,WCB_1,WCA_2,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 8 ft off destination band, jury n=11"
3002548563,WCB_2,WCB_1,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 98 ft off destination band, jury n=4"
3002548825,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 62 ft off destination band, jury n=3"
3002549659,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 44 ft off destination band, jury n=3"
4210933051,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 57 ft off destination band, jury n=3"
4210933207,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 97 ft off destination band, jury n=8"
4210933211,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 61 ft off destination band, jury n=7"
4210933215,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 85 ft off destination band, jury n=5"
4210933243,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 33 ft off destination band, jury n=3"
4210933245,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 65 ft off destination band, jury n=3"
4210934282,WCB_2,WCC,"gunbarrel-consensus v2 flag ratified by MM (high-value review 2026-09-17); 55 ft off destination band, jury n=5"
4230133751,WCA_2,WCB_1,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 30 ft off destination band, jury n=12"
4230135867,WCB_1,WCA_2,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 116 ft off destination band, jury n=3"
4230135868,WCB_1,WCA_2,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 118 ft off destination band, jury n=5"
4230135869,WCB_1,WCA_2,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 92 ft off destination band, jury n=8"
4230135875,WCB_1,WCA_2,"gunbarrel-consensus v2 flag ratified by MM (main-sheet review 2026-09-16); 79 ft off destination band, jury n=7"
